,Equipo,Tabla,n_sim,Posición
406,Huachipato,Absoluta,12,6
407,Huachipato,Ponderada,12,8
408,Unión Española,Absoluta,12,3
409,Unión Española,Ponderada,12,3
410,Curicó Unido,Absoluta,12,4
411,Curicó Unido,Ponderada,12,9
412,Colo-Colo,Absoluta,12,17
413,Colo-Colo,Ponderada,12,5
414,Unión La Calera,Absoluta,12,2
415,Unión La Calera,Ponderada,12,2
416,Universidad de Concepción,Absoluta,12,13
417,Universidad de Concepción,Ponderada,12,18
418,Palestino,Absoluta,12,5
419,Palestino,Ponderada,12,4
420,Universidad de Chile,Absoluta,12,7
421,Universidad de Chile,Ponderada,12,15
422,Cobresal,Absoluta,12,12
423,Cobresal,Ponderada,12,11
424,Universidad Católica,Absoluta,12,1
425,Universidad Católica,Ponderada,12,1
426,Iquique,Absoluta,12,15
427,Iquique,Ponderada,12,17
428,La Serena,Absoluta,12,16
429,La Serena,Ponderada,12,16
430,Coquimbo Unido,Absoluta,12,18
431,Coquimbo Unido,Ponderada,12,12
432,Everton,Absoluta,13,13
433,Everton,Ponderada,13,16
434,O'Higgins,Absoluta,13,12
435,O'Higgins,Ponderada,13,9
436,Antofagasta,Absoluta,13,7
437,Antofagasta,Ponderada,13,13
438,Audax Italiano,Absoluta,13,10
439,Audax Italiano,Ponderada,13,8
440,Santiago Wanderers,Absoluta,13,9
441,Santiago Wanderers,Ponderada,13,7
442,Huachipato,Absoluta,13,4
443,Huachipato,Ponderada,13,6
444,Unión Española,Absoluta,13,3
445,Unión Española,Ponderada,13,3
446,Curicó Unido,Absoluta,13,8
447,Curicó Unido,Ponderada,13,15
448,Colo-Colo,Absoluta,13,15
449,Colo-Colo,Ponderada,13,5
450,Unión La Calera,Absoluta,13,2
451,Unión La Calera,Ponderada,13,2
452,Universidad de Concepción,Absoluta,13,11
453,Universidad de Concepción,Ponderada,13,18
454,Palestino,Absoluta,13,6
455,Palestino,Ponderada,13,4
456,Universidad de Chile,Absoluta,13,5
457,Universidad de Chile,Ponderada,13,14
458,Cobresal,Absoluta,13,16
459,Cobresal,Ponderada,13,12
460,Universidad Católica,Absoluta,13,1
461,Universidad Católica,Ponderada,13,1
462,Iquique,Absoluta,13,14
463,Iquique,Ponderada,13,17
464,La Serena,Absoluta,13,17
465,La Serena,Ponderada,13,11
466,Coquimbo Unido,Absoluta,13,18
467,Coquimbo Unido,Ponderada,13,10
468,Everton,Absoluta,14,11
469,Everton,Ponderada,14,15
470,O'Higgins,Absoluta,14,9
471,O'Higgins,Ponderada,14,7
472,Antofagasta,Absoluta,14,8
473,Antofagasta,Ponderada,14,14
474,Audax Italiano,Absoluta,14,10
475,Audax Italiano,Ponderada,14,8
476,Santiago Wanderers,Absoluta,14,12
477,Santiago Wanderers,Ponderada,14,9
478,Huachipato,Absoluta,14,5
479,Huachipato,Ponderada,14,6
480,Unión Española,Absoluta,14,3
481,Unión Española,Ponderada,14,4
482,Curicó Unido,Absoluta,14,7
483,Curicó Unido,Ponderada,14,12
484,Colo-Colo,Absoluta,14,15
485,Colo-Colo,Ponderada,14,5
486,Unión La Calera,Absoluta,14,1
487,Unión La Calera,Ponderada,14,2
488,Universidad de Concepción,Absoluta,14,14
489,Universidad de Concepción,Ponderada,14,18
490,Palestino,Absoluta,14,6
491,Palestino,Ponderada,14,3
492,Universidad de Chile,Absoluta,14,4
493,Universidad de Chile,Ponderada,14,13
494,Cobresal,Absoluta,14,13
495,Cobresal,Ponderada,14,11
496,Universidad Católica,Absoluta,14,2
497,Universidad Católica,Ponderada,14,1
498,Iquique,Absoluta,14,17
499,Iquique,Ponderada,14,17
500,La Serena,Absoluta,14,16
501,La Serena,Ponderada,14,16
502,Coquimbo Unido,Absoluta,14,18
503,Coquimbo Unido,Ponderada,14,10
504,Everton,Absoluta,15,11
505,Everton,Ponderada,15,14
506,O'Higgins,Absoluta,15,6
507,O'Higgins,Ponderada,15,5
508,Antofagasta,Absoluta,15,10
509,Antofagasta,Ponderada,15,16
510,Audax Italiano,Absoluta,15,16
511,Audax Italiano,Ponderada,15,10
512,Santiago Wanderers,Absoluta,15,12
513,Santiago Wanderers,Ponderada,15,9
514,Huachipato,Absoluta,15,8
515,Huachipato,Ponderada,15,6
516,Unión Española,Absoluta,15,3
517,Unión Española,Ponderada,15,3
518,Curicó Unido,Absoluta,15,9
519,Curicó Unido,Ponderada,15,13
520,Colo-Colo,Absoluta,15,17
521,Colo-Colo,Ponderada,15,7
522,Unión La Calera,Absoluta,15,2
523,Unión La Calera,Ponderada,15,2
524,Universidad de Concepción,Absoluta,15,14
525,Universidad de Concepción,Ponderada,15,18
526,Palestino,Absoluta,15,5
527,Palestino,Ponderada,15,4
528,Universidad de Chile,Absoluta,15,4
529,Universidad de Chile,Ponderada,15,11
530,Cobresal,Absoluta,15,7
531,Cobresal,Ponderada,15,8
532,Universidad Católica,Absoluta,15,1
533,Universidad Católica,Ponderada,15,1
534,Iquique,Absoluta,15,13
535,Iquique,Ponderada,15,17
536,La Serena,Absoluta,15,15
537,La Serena,Ponderada,15,15
538,Coquimbo Unido,Absoluta,15,18
539,Coquimbo Unido,Ponderada,15,12
540,Everton,Absoluta,16,15
541,Everton,Ponderada,16,15
542,O'Higgins,Absoluta,16,8
543,O'Higgins,Ponderada,16,7
544,Antofagasta,Absoluta,16,5
545,Antofagasta,Ponderada,16,14
546,Audax Italiano,Absoluta,16,17
547,Audax Italiano,Ponderada,16,12
548,Santiago Wanderers,Absoluta,16,9
549,Santiago Wanderers,Ponderada,16,8
550,Huachipato,Absoluta,16,7
551,Huachipato,Ponderada,16,6
552,Unión Española,Absoluta,16,3
553,Unión Española,Ponderada,16,3
554,Curicó Unido,Absoluta,16,6
555,Curicó Unido,Ponderada,16,13
556,Colo-Colo,Absoluta,16,18
557,Colo-Colo,Ponderada,16,5
558,Unión La Calera,Absoluta,16,1
559,Unión La Calera,Ponderada,16,2
560,Universidad de Concepción,Absoluta,16,12
561,Universidad de Concepción,Ponderada,16,18
562,Palestino,Absoluta,16,4
563,Palestino,Ponderada,16,4
564,Universidad de Chile,Absoluta,16,10
565,Universidad de Chile,Ponderada,16,17
566,Cobresal,Absoluta,16,11
567,Cobresal,Ponderada,16,11
568,Universidad Católica,Absoluta,16,2
569,Universidad Católica,Ponderada,16,1
570,Iquique,Absoluta,16,14
571,Iquique,Ponderada,16,16
572,La Serena,Absoluta,16,13
573,La Serena,Ponderada,16,10
574,Coquimbo Unido,Absoluta,16,16
575,Coquimbo Unido,Ponderada,16,9
576,Everton,Absoluta,17,14
577,Everton,Ponderada,17,16
578,O'Higgins,Absoluta,17,11
579,O'Higgins,Ponderada,17,8
580,Antofagasta,Absoluta,17,6
581,Antofagasta,Ponderada,17,15
582,Audax Italiano,Absoluta,17,12
583,Audax Italiano,Ponderada,17,9
584,Santiago Wanderers,Absoluta,17,10
585,Santiago Wanderers,Ponderada,17,7
586,Huachipato,Absoluta,17,7
587,Huachipato,Ponderada,17,6
588,Unión Española,Absoluta,17,3
589,Unión Española,Ponderada,17,3
590,Curicó Unido,Absoluta,17,8
591,Curicó Unido,Ponderada,17,14
592,Colo-Colo,Absoluta,17,16
593,Colo-Colo,Ponderada,17,5
594,Unión La Calera,Absoluta,17,2
595,Unión La Calera,Ponderada,17,2
596,Universidad de Concepción,Absoluta,17,9
597,Universidad de Concepción,Ponderada,17,17
598,Palestino,Absoluta,17,5
599,Palestino,Ponderada,17,4
600,Universidad de Chile,Absoluta,17,4
601,Universidad de Chile,Ponderada,17,13
602,Cobresal,Absoluta,17,13
603,Cobresal,Ponderada,17,12
604,Universidad Católica,Absoluta,17,1
605,Universidad Católica,Ponderada,17,1
606,Iquique,Absoluta,17,17
607,Iquique,Ponderada,17,18
608,La Serena,Absoluta,17,15
609,La Serena,Ponderada,17,10
610,Coquimbo Unido,Absoluta,17,18
611,Coquimbo Unido,Ponderada,17,11
612,Everton,Absoluta,18,11
613,Everton,Ponderada,18,13
614,O'Higgins,Absoluta,18,5
615,O'Higgins,Ponderada,18,6
616,Antofagasta,Absoluta,18,8
617,Antofagasta,Ponderada,18,14
618,Audax Italiano,Absoluta,18,12
619,Audax Italiano,Ponderada,18,10
620,Santiago Wanderers,Absoluta,18,10
621,Santiago Wanderers,Ponderada,18,5
622,Huachipato,Absoluta,18,4
623,Huachipato,Ponderada,18,7
624,Unión Española,Absoluta,18,3
