,n_sim,PenPon,AntAbs,Des1,Des2,PenAbs
1010,2963,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1011,2964,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1012,2966,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1013,2967,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1014,2969,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1015,2970,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1016,2971,Universidad de Chile,La Serena,Coquimbo Unido,Iquique,Iquique
1017,2972,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1018,2973,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
1019,2974,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1020,2982,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1021,2984,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1022,2989,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1023,3002,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1024,3006,Universidad de Chile,Santiago Wanderers,La Serena,Iquique,Iquique
1025,3007,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1026,3015,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1027,3020,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1028,3022,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1029,3023,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1030,3024,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1031,3027,Universidad de Concepción,La Serena,Colo-Colo,Iquique,Iquique
1032,3031,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
