,n_sim,Equipo,Desc,Motivo
264,89,Coquimbo Unido,1,Último Absoluta
265,89,Universidad de Concepción,2,Último Ponderada
266,89,Iquique,3,Partido Pen Abs vs Pen Pon
267,90,Iquique,1,Último Absoluta
268,90,Universidad de Concepción,2,Penúltimo Ponderada
269,90,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
270,91,Coquimbo Unido,1,Último Absoluta
271,91,Universidad de Concepción,2,Último Ponderada
272,91,Iquique,3,Partido Pen Abs vs Pen Pon
273,92,Coquimbo Unido,1,Último Absoluta
274,92,Universidad de Concepción,2,Último Ponderada
275,92,Iquique,3,Partido Pen Abs vs Pen Pon
276,93,Coquimbo Unido,1,Último Absoluta
277,93,Universidad de Concepción,2,Último Ponderada
278,93,Iquique,3,Partido Pen Abs vs Pen Pon
279,94,Coquimbo Unido,1,Último Absoluta
280,94,Universidad de Concepción,2,Último Ponderada
281,94,Iquique,3,Partido Pen Abs vs Pen Pon
282,95,Coquimbo Unido,1,Último Absoluta
283,95,Universidad de Concepción,2,Último Ponderada
284,95,Iquique,3,Partido Pen Abs vs Pen Pon
285,96,Coquimbo Unido,1,Último Absoluta
286,96,Universidad de Concepción,2,Último Ponderada
287,96,Iquique,3,Partido Pen Abs vs Pen Pon
288,97,Coquimbo Unido,1,Último Absoluta
289,97,Iquique,2,Último Ponderada
290,97,Audax Italiano,3,Partido Ant Abs vs Pen Pon
291,98,Coquimbo Unido,1,Último Absoluta
292,98,Iquique,2,Último Ponderada
293,98,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
294,99,Coquimbo Unido,1,Último Absoluta
295,99,Iquique,2,Último Ponderada
296,99,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
297,100,Coquimbo Unido,1,Último Absoluta
298,100,Iquique,2,Último Ponderada
299,100,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
300,101,Coquimbo Unido,1,Último Absoluta
301,101,Universidad de Concepción,2,Último Ponderada
302,101,Iquique,3,Partido Pen Abs vs Pen Pon
303,102,Coquimbo Unido,1,Último Absoluta
304,102,Iquique,2,Último Ponderada
305,102,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
306,103,Coquimbo Unido,1,Último Absoluta
307,103,Iquique,2,Último Ponderada
308,103,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
309,104,Coquimbo Unido,1,Último Absoluta
310,104,Universidad de Concepción,2,Último Ponderada
311,104,Iquique,3,Partido Pen Abs vs Pen Pon
312,105,Iquique,1,Último Absoluta
313,105,Universidad de Concepción,2,Penúltimo Ponderada
314,105,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
315,106,Iquique,1,Último Absoluta
316,106,Universidad de Concepción,2,Penúltimo Ponderada
317,106,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
318,107,Coquimbo Unido,1,Último Absoluta
319,107,Universidad de Concepción,2,Último Ponderada
320,107,Iquique,3,Partido Pen Abs vs Pen Pon
321,108,Coquimbo Unido,1,Último Absoluta
322,108,Iquique,2,Último Ponderada
323,108,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
324,109,Coquimbo Unido,1,Último Absoluta
325,109,Universidad de Concepción,2,Último Ponderada
326,109,Iquique,3,Partido Pen Abs vs Pen Pon
327,110,Coquimbo Unido,1,Último Absoluta
328,110,Universidad de Concepción,2,Último Ponderada
329,110,Iquique,3,Partido Pen Abs vs Pen Pon
330,111,Coquimbo Unido,1,Último Absoluta
331,111,Iquique,2,Último Ponderada
332,111,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
333,112,Coquimbo Unido,1,Último Absoluta
334,112,Universidad de Concepción,2,Último Ponderada
335,112,Iquique,3,Partido Pen Abs vs Pen Pon
336,113,Coquimbo Unido,1,Último Absoluta
337,113,Universidad de Concepción,2,Último Ponderada
338,113,Iquique,3,Partido Pen Abs vs Pen Pon
339,114,Coquimbo Unido,1,Último Absoluta
